epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.455,0.99859,1.65507,1.15363,0.58978,0.606,0.60284,0.37328,1.12424,1.69632,1.23741,0.000553789,0.000553789,0.000553789
2,346.624,1.17796,1.37938,1.28016,0.63362,0.59087,0.61604,0.3866,1.14644,1.40172,1.26182,0.00109847,0.00109847,0.00109847
3,650.196,1.19302,1.31056,1.28689,0.6649,0.59193,0.63822,0.40453,1.11799,1.15023,1.25254,0.00163215,0.00163215,0.00163215
4,823.148,1.15219,1.23007,1.27088,0.72965,0.63331,0.69396,0.46696,1.02954,1.04751,1.18376,0.00161749,0.00161749,0.00161749
5,986.843,1.1349,1.19639,1.26318,0.70499,0.64581,0.70891,0.47636,1.03898,1.02129,1.17673,0.00160099,0.00160099,0.00160099
6,1147.83,1.09153,1.12871,1.23329,0.721,0.66369,0.72709,0.50305,0.98553,0.97353,1.1487,0.00158448,0.00158448,0.00158448
7,1306.74,1.06746,1.08406,1.21558,0.73425,0.66908,0.73224,0.50702,0.94636,0.94336,1.1215,0.00156798,0.00156798,0.00156798
8,1468.9,1.0445,1.04565,1.20788,0.76217,0.67422,0.74049,0.53462,0.91862,0.92951,1.10918,0.00155148,0.00155148,0.00155148
9,1631.5,1.02679,1.02715,1.19555,0.77053,0.69571,0.76386,0.54272,0.91564,0.83454,1.10257,0.00153497,0.00153497,0.00153497
10,1791.83,1.0223,1.00763,1.19118,0.74597,0.6769,0.74592,0.53628,0.91537,0.89592,1.10475,0.00151847,0.00151847,0.00151847
11,1951.18,1.00025,0.98296,1.17832,0.76037,0.69142,0.7712,0.55505,0.91345,0.85336,1.0917,0.00150197,0.00150197,0.00150197
12,2112.51,0.97424,0.95057,1.16375,0.76974,0.69811,0.7763,0.56478,0.8692,0.81444,1.07984,0.00148546,0.00148546,0.00148546
13,2273.66,0.96463,0.93505,1.16312,0.76407,0.70356,0.77115,0.55996,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,2445.49,0.96045,0.91674,1.16186,0.80024,0.70753,0.79961,0.58942,0.84983,0.77425,1.0629,0.00145246,0.00145246,0.00145246
15,2614.7,0.94804,0.89838,1.14814,0.78929,0.67112,0.77428,0.55951,0.86803,0.8381,1.07923,0.00143595,0.00143595,0.00143595
16,2790.61,0.95395,0.90318,1.15389,0.78348,0.71485,0.79972,0.59107,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,2972.78,0.93564,0.86654,1.14037,0.77355,0.74697,0.81035,0.59965,0.86739,0.74088,1.07757,0.00140295,0.00140295,0.00140295
18,3152.83,0.92301,0.8693,1.1377,0.81323,0.72258,0.82498,0.60857,0.81708,0.71018,1.04885,0.00138644,0.00138644,0.00138644
19,3331.96,0.91891,0.8657,1.13154,0.77509,0.70753,0.80096,0.59613,0.82287,0.75496,1.0483,0.00136994,0.00136994,0.00136994
20,3510.82,0.91321,0.83427,1.12986,0.81746,0.71052,0.8164,0.60976,0.80992,0.7122,1.04635,0.00135344,0.00135344,0.00135344
21,3692.94,0.90037,0.83075,1.12456,0.79848,0.71593,0.80516,0.59841,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,3874.18,0.8964,0.81078,1.12037,0.8042,0.73351,0.81194,0.61195,0.81331,0.7276,1.04985,0.00132043,0.00132043,0.00132043
23,4051.81,0.88605,0.80583,1.11602,0.83554,0.74547,0.83942,0.6378,0.78614,0.68123,1.03102,0.00130393,0.00130393,0.00130393
24,4234.77,0.8954,0.79659,1.11241,0.82502,0.7325,0.83049,0.62766,0.80555,0.68568,1.03967,0.00128742,0.00128742,0.00128742
25,4398.62,0.88357,0.79092,1.10949,0.80196,0.75517,0.82602,0.62475,0.78904,0.69248,1.02548,0.00127092,0.00127092,0.00127092
26,4559.81,0.88204,0.78904,1.10763,0.80594,0.75354,0.83652,0.63523,0.78438,0.67954,1.02912,0.00125442,0.00125442,0.00125442
27,4718.54,0.87142,0.76747,1.10001,0.81057,0.76569,0.84638,0.64971,0.77247,0.66462,1.02518,0.00123791,0.00123791,0.00123791
28,4882.99,0.87122,0.77164,1.10811,0.81645,0.75295,0.83649,0.63844,0.78029,0.65738,1.02035,0.00122141,0.00122141,0.00122141
29,5045.86,0.86199,0.76195,1.1,0.80893,0.76673,0.84362,0.64693,0.77066,0.65063,1.02121,0.00120491,0.00120491,0.00120491
30,5212.85,0.85971,0.7539,1.08947,0.82853,0.76184,0.84682,0.65244,0.75992,0.63939,1.00631,0.0011884,0.0011884,0.0011884
31,5381.01,0.85839,0.7534,1.0975,0.83684,0.76196,0.84449,0.64743,nan,nan,nan,0.0011719,0.0011719,0.0011719
32,5551.6,0.84864,0.74482,1.08965,0.85229,0.7604,0.85958,0.65843,0.76865,0.62642,1.01125,0.0011554,0.0011554,0.0011554
33,5719,0.84655,0.73701,1.09407,0.84662,0.75353,0.84716,0.64969,0.77178,0.64503,1.01717,0.00113889,0.00113889,0.00113889
34,5889.62,0.83567,0.72459,1.08837,0.84854,0.74844,0.85866,0.66292,0.77299,0.62531,1.01662,0.00112239,0.00112239,0.00112239
35,6051.07,0.82294,0.70359,1.07796,0.85127,0.75724,0.85488,0.66029,nan,nan,nan,0.00110589,0.00110589,0.00110589
36,6214.18,0.82956,0.70607,1.07531,0.8333,0.7791,0.85744,0.66631,0.74947,0.61555,1.00523,0.00108938,0.00108938,0.00108938
37,6384.93,0.82343,0.70509,1.07652,0.82945,0.77016,0.85459,0.66439,0.74974,0.61509,1.00701,0.00107288,0.00107288,0.00107288
